1778021964.486273,41,100,535
1778021965.5346675,763,91,910
1778021966.5743704,665,93,904
1778021967.5931487,588,92,881
1778021968.6140678,614,92,887
1778021969.6471446,670,93,905
1778021970.6733487,402,88,806
1778021971.674123,442,89,825
1778021972.69706,401,88,809
1778021973.7139876,304,83,746
1778021974.748492,381,87,794
1778021975.7647653,631,92,895
1778021976.802137,396,87,803
1778021977.8289416,511,90,854
1778021978.8703544,347,86,780
1778021979.9177935,679,92,902
1778021981.0473378,386,86,792
1778021982.0478146,698,92,906
1778021983.098103,637,93,902
1778021984.1175795,525,90,856
1778021985.1325912,584,92,881
1778021986.1879296,562,91,874
1778021987.227236,653,92,897
1778021988.2606387,549,90,864
1778021989.3301444,717,93,915
1778021990.3740864,678,93,907
1778021991.374328,621,90,882
1778021992.4386268,375,89,805
1778021993.476269,482,90,842
1778021994.5019774,639,92,893
1778021995.5176609,625,92,891
1778021996.5626528,692,93,911
1778021997.577727,628,92,892
1778021998.60483,561,91,869
1778021999.6052775,596,91,882
1778022000.7364292,676,92,903
1778022001.7661092,457,89,832
1778022002.817348,524,90,856
1778022003.9062536,773,93,927
1778022004.9629033,703,93,914
1778022005.977245,684,93,909
1778022007.0010026,571,90,868
1778022008.037432,692,93,911
1778022009.1266856,689,93,910
1778022010.1266704,766,92,920
1778022011.1268263,521,91,861
1778022012.1273212,470,91,845
1778022013.127668,390,87,801
1778022014.1364772,630,92,895
1778022015.1621635,740,93,921
1778022016.1843429,680,92,906
1778022017.2094564,439,89,824
1778022018.312557,743,93,918
1778022019.324921,701,93,913
1778022020.3680408,669,92,903
1778022021.414163,745,93,920
1778022022.4624615,735,93,922
1778022023.4912598,563,90,867
1778022024.5196435,685,92,904
1778022025.580935,648,93,903
1778022026.6054308,582,91,877
1778022027.6217163,623,92,891
1778022028.643281,493,90,847
1778022029.671978,470,90,840
1778022030.6982262,675,92,903
1778022031.7201447,731,93,921
1778022032.7520018,369,86,789
1778022033.7759566,518,90,856
1778022034.805547,471,89,835
1778022035.8314095,442,89,828
1778022036.9823227,594,91,880
1778022038.0281534,672,91,898
1778022039.0698361,601,92,886
1778022040.0893743,602,92,884
1778022041.1160722,702,93,912
1778022042.1548965,753,93,924
1778022043.1867802,706,93,913
1778022044.2162385,641,92,896
1778022045.2414296,552,91,868
1778022046.376206,639,92,897
1778022047.4205887,659,91,893
1778022048.4464254,579,92,879
1778022049.481341,652,92,900
1778022050.4983685,523,90,853
1778022051.5434675,431,88,820
1778022052.5762143,531,90,859
1778022053.5810747,515,91,860
1778022054.5814323,672,92,902
1778022055.5820203,655,92,901
1778022056.605221,558,91,872
1778022057.6560123,563,91,874
1778022058.683578,666,93,904
1778022059.7083533,541,90,862
1778022060.761421,682,92,905
1778022061.785324,445,89,830
1778022062.8280978,579,91,875
1778022063.8824291,560,91,873
1778022064.912714,394,86,796
1778022065.937126,726,93,919
1778022066.978511,703,93,914
1778022068.0233402,655,92,896
1778022069.0844092,611,91,886
1778022070.0895622,407,87,807
1778022071.1289666,470,90,840
1778022072.1638465,405,88,811
1778022073.184309,491,90,848
1778022074.1846743,637,91,888
1778022075.185485,681,93,908
1778022076.185382,644,92,898
1778022077.1857395,600,92,888
1778022078.1860056,657,92,900
1778022079.1866117,500,91,853
1778022080.2141826,660,92,902
1778022081.215301,595,91,882
1778022082.2153802,448,90,838
1778022083.2158074,527,88,847
1778022084.3782218,373,87,795
1778022085.4057202,685,92,906
1778022086.4310122,498,90,851
1778022087.4643033,378,87,794
1778022088.520294,620,91,885
1778022089.5561535,654,92,899
1778022090.5842173,606,92,887
1778022091.5842917,530,90,858
1778022092.5846682,608,91,882
1778022093.58552,554,92,873
1778022094.690166,493,91,853
1778022095.742246,453,87,821
1778022096.8605645,550,91,869
1778022097.9379208,552,90,864
1778022098.9753013,519,90,858
1778022100.0218368,569,90,869
1778022101.363547,609,92,886
1778022102.0867503,566,91,874
1778022103.1225147,446,89,826
1778022104.143776,575,92,878
1778022105.2811508,621,92,889
1778022106.3088715,451,87,820
1778022107.336108,328,85,768
1778022108.3674092,540,91,865
1778022109.5012922,540,90,857
1778022110.5010524,639,91,890
1778022111.5481966,479,91,849
1778022112.578096,569,91,876
1778022113.7230413,565,90,865
1778022114.7575662,460,89,832
1778022115.7777817,441,89,826
1778022116.805217,716,93,915
1778022117.8239522,430,89,822
1778022118.8637369,575,91,876
1778022119.8771534,748,93,921
1778022120.9191666,658,92,896
1778022121.9444816,464,91,845
1778022122.9730122,486,90,846
1778022124.0236402,462,88,826
1778022125.0491352,502,90,853
1778022126.0811367,511,90,856
1778022127.1113477,463,89,832
1778022128.1441686,693,93,909
1778022129.1840627,723,93,919
1778022130.2040374,468,89,834
1778022131.25137,516,90,855
1778022132.2513866,656,92,896
1778022133.2515178,677,93,907
1778022134.4526536,432,88,818
1778022135.4831796,552,90,866
1778022136.501046,600,91,881
1778022137.5221388,497,90,851
1778022138.545867,493,90,849
1778022139.5734162,554,91,871
1778022140.6346183,758,93,924
1778022141.649291,595,91,882
1778022142.6733603,604,92,887
1778022143.6931958,726,93,916
1778022144.733011,615,92,888
1778022145.777366,710,92,912
1778022146.825589,441,89,825
1778022147.875061,674,93,905
1778022148.9267538,464,89,834
1778022149.979514,439,89,827
1778022151.0369465,695,92,905
1778022152.1181614,680,92,904
1778022153.1180553,665,92,898
1778022154.1185973,664,93,906
1778022155.1185114,516,90,853
1778022156.1187606,607,93,894
1778022157.1195393,615,92,890
1778022158.1723819,699,93,913
1778022159.2295206,466,88,831
1778022160.2863948,642,92,895
1778022161.2874324,354,90,802
1778022162.3421814,479,87,826
1778022163.3974848,694,93,910
1778022164.4496794,616,91,886
1778022165.5039902,716,92,912
1778022166.5577593,478,90,843
1778022167.6064067,466,89,833
1778022168.66044,477,89,840
1778022169.6606712,732,93,921
1778022170.6626937,794,93,930
1778022171.6625652,603,92,886
1778022172.7246985,594,91,882
1778022173.7727752,621,92,892
1778022174.827694,420,88,813
1778022175.8814669,499,90,851
1778022176.882077,692,91,900
1778022177.8823633,442,90,836
1778022178.882681,544,91,869
1778022179.909202,717,92,911
1778022180.9637532,515,92,864
1778022182.020664,732,92,914
1778022183.070758,569,91,876
1778022184.1056252,679,92,904
1778022185.1361275,601,92,886
1778022186.1832488,749,93,921
1778022187.2460768,752,93,922
1778022188.2636557,673,93,906
1778022189.2998161,695,92,908
1778022190.3003547,589,91,878
1778022191.3007212,587,92,884
1778022192.4388552,629,92,894
1778022193.3021753,495,90,850
1778022194.3021095,660,92,899
1778022195.3026903,693,93,909
1778022196.3032029,556,91,872
1778022197.4746776,548,91,869
1778022198.4747887,525,89,849
1778022199.53298,537,91,867
1778022200.5629742,665,93,904
1778022201.6157932,407,88,809
1778022202.6164272,736,92,917
1778022203.6170168,589,91,880
1778022204.7786555,571,91,874
1778022205.778998,720,93,916
1778022206.889089,761,93,924
1778022207.9314635,666,92,902
1778022208.964306,504,90,851
1778022209.9773524,352,85,775
