Timestamp,Estado
1781291521.9073,1
1781291522.9304,1
1781291523.9632,1
1781291524.9999,1
1781291526.0269,1
1781291527.0643,1
1781291528.0940,1
1781291529.1289,1
1781291530.1665,1
1781291531.1923,1
1781291532.2267,1
1781291533.2690,1
1781291534.2691,1
1781291535.2700,1
1781291536.2717,0
1781291537.2722,0
1781291538.2730,0
1781291539.2733,0
1781291540.2735,0
1781291541.2752,0
1781291542.2758,0
1781291543.2760,0
1781291544.2768,0
1781291545.2772,0
1781291546.2779,0
1781291547.2783,0
1781291548.2791,0
1781291549.2792,0
1781291550.2793,0
1781291551.2795,0
1781291552.2795,0
1781291553.2798,0
1781291554.2798,0
1781291555.2805,0
1781291556.2811,0
1781291557.2816,0
1781291558.2825,0
1781291559.2826,0
1781291560.2832,0
1781291561.2838,0
1781291562.2842,0
1781291563.2844,0
1781291564.2845,0
1781291565.2851,0
1781291566.2854,0
1781291567.2854,0
1781291568.2855,0
1781291569.2860,0
1781291570.2860,0
1781291571.2862,0
1781291572.2869,0
1781291573.2872,0
1781291574.2875,0
1781291575.2882,0
1781291576.2883,0
1781291577.2886,0
1781291578.2894,0
1781291579.2894,0
1781291580.2904,0
1781291581.2916,0
1781291582.2919,0
1781291583.2927,0
1781291584.2927,0
1781291585.2929,0
1781291586.2936,0
1781291587.2943,0
1781291588.2947,0
1781291589.2953,0
1781291590.2958,0
1781291591.2967,0
1781291592.2975,0
1781291593.2977,0
1781291594.2979,0
1781291595.2981,0
1781291596.2988,0
1781291597.2988,0
1781291598.2999,0
1781291599.3000,0
1781291600.3004,0
1781291601.3004,0
1781291602.3008,0
1781291603.3015,0
1781291604.3022,0
1781291605.3027,0
1781291606.3029,0
1781291607.3029,0
1781291608.3038,0
1781291609.3046,0
1781291610.3050,0
1781291611.3054,0
1781291612.3056,0
1781291613.3058,0
1781291614.3063,0
1781291615.3064,0
1781291616.3070,0
1781291617.3071,0
1781291618.3076,0
1781291619.3084,0
1781291620.3092,0
1781291621.3099,0
1781291622.3105,0
1781291623.3109,0
1781291624.3111,0
1781291625.3114,0
1781291626.3122,0
1781291627.3123,0
1781291628.3131,0
1781291629.3133,0
1781291630.3139,0
1781291631.3142,0
1781291632.3143,0
1781291633.3151,0
1781291634.3155,0
1781291635.3155,0
1781291636.3161,0
1781291637.3162,0
1781291638.3165,0
1781291639.3175,0
1781291640.3181,0
1781291641.3181,0
1781291642.3191,0
1781291643.3198,0
1781291644.3201,0
1781291645.3207,0
1781291646.3209,0
1781291647.3218,0
1781291648.3233,0
1781291649.3240,0
1781291650.3244,0
1781291651.3251,0
1781291652.3256,0
1781291653.3257,0
1781291654.3264,0
1781291655.3271,0
1781291656.3272,0
1781291657.3279,0
1781291658.3280,0
1781291659.3287,0
1781291660.3291,0
1781291661.3302,0
1781291662.3308,0
1781291663.3309,0
1781291664.3316,0
1781291665.3323,0
1781291666.3326,0
1781291667.3331,0
1781291668.3332,0
1781291669.3340,0
1781291670.3342,0
1781291671.3342,0
1781291672.3351,0
1781291673.3358,0
1781291674.3362,0
1781291675.3370,0
1781291676.3376,0
1781291677.3377,0
1781291678.3384,0
1781291679.3386,0
1781291680.3396,0
1781291681.3399,0
1781291682.3402,0
1781291683.3408,0
1781291684.3415,0
1781291685.3422,0
1781291686.3429,0
