Timestamp,Estado,TipoAtaque,C1,C2,C3,FPGA_Alerta
1780957323.419824,ATAQUE,TCP_SYN,886,99,978,1
1780957324.420754,ATAQUE,TCP_SYN,901,100,981,1
1780957325.4217777,ATAQUE,TCP_SYN,878,100,977,1
1780957326.4215841,ATAQUE,TCP_SYN,881,100,978,1
1780957327.4220638,ATAQUE,TCP_SYN,856,100,974,1
1780957328.4223192,ATAQUE,TCP_SYN,870,100,976,1
1780957329.422375,ATAQUE,TCP_SYN,882,100,978,1
1780957330.4232922,ATAQUE,TCP_SYN,872,100,976,1
1780957331.4239626,ATAQUE,TCP_SYN,870,100,976,1
1780957332.424754,ATAQUE,TCP_SYN,884,100,978,1
1780957333.425778,ATAQUE,TCP_SYN,888,100,979,1
1780957334.4259293,ATAQUE,TCP_SYN,892,100,980,1
1780957335.4267788,ATAQUE,TCP_SYN,867,100,975,1
1780957336.427642,ATAQUE,TCP_SYN,883,100,978,1
1780957337.4282007,ATAQUE,TCP_SYN,876,100,977,1
1780957338.4284635,ATAQUE,TCP_SYN,863,100,975,1
1780957339.429211,ATAQUE,TCP_SYN,873,100,976,1
1780957340.429661,ATAQUE,TCP_SYN,891,100,979,1
1780957341.4303849,ATAQUE,TCP_SYN,884,100,978,1
1780957342.4314036,ATAQUE,TCP_SYN,886,100,979,1
1780957343.431588,ATAQUE,TCP_SYN,895,100,980,1
1780957344.4318306,ATAQUE,TCP_SYN,884,100,978,1
1780957345.4324148,ATAQUE,TCP_SYN,885,100,978,1
1780957346.433503,ATAQUE,TCP_SYN,865,100,975,1
1780957347.4343574,ATAQUE,TCP_SYN,885,100,978,1
1780957348.4356897,ATAQUE,TCP_SYN,882,100,978,1
1780957442.7925367,NORMAL,NONE,67,2,99,1
1780957443.8228211,NORMAL,NONE,132,1,99,0
1780957444.8564162,NORMAL,NONE,134,1,99,0
1780957445.9029014,NORMAL,NONE,134,1,99,0
1780957446.9231887,NORMAL,NONE,130,1,99,0
1780957447.9565387,NORMAL,NONE,134,1,99,0
1780957448.9720583,NORMAL,NONE,141,1,99,0
1780957450.005536,NORMAL,NONE,123,1,99,0
1780957451.0353253,NORMAL,NONE,132,1,99,0
1780957452.0542681,NORMAL,NONE,130,1,99,0
1780957453.087058,NORMAL,NONE,132,1,99,0
1780957454.13762,NORMAL,NONE,132,1,99,0
1780957455.1537976,NORMAL,NONE,132,1,99,0
1780957456.2045307,NORMAL,NONE,136,1,99,0
1780957457.236451,NORMAL,NONE,132,1,99,0
1780957458.2689254,NORMAL,NONE,132,1,100,0
1780957459.3014352,NORMAL,NONE,132,1,99,0
1780957460.3338962,NORMAL,NONE,132,1,99,0
1780957461.3513165,NORMAL,NONE,130,1,99,0
1780957462.352458,NORMAL,NONE,130,1,99,0
1780957463.3998306,NORMAL,NONE,132,1,99,0
1780957464.417822,NORMAL,NONE,132,1,99,0
1780957465.4677756,NORMAL,NONE,130,1,100,0
1780957466.5004346,NORMAL,NONE,134,1,99,0
1780957467.5324836,NORMAL,NONE,132,1,99,0
1780957468.5661416,NORMAL,NONE,134,1,99,0
1780957469.5819008,NORMAL,NONE,130,1,99,0
1780957470.6148503,NORMAL,NONE,134,1,99,0
1780957471.648622,NORMAL,NONE,132,1,99,0
1780957472.6495264,NORMAL,NONE,130,1,99,0
1780957473.680772,NORMAL,NONE,130,1,99,0
1780957474.7133837,NORMAL,NONE,132,1,99,0
1780957475.728736,NORMAL,NONE,132,1,99,0
1780957476.74693,NORMAL,NONE,130,1,99,0
1780957477.7806146,NORMAL,NONE,136,1,99,0
1780957478.81249,NORMAL,NONE,132,1,99,0
1780957479.8138995,ATAQUE,TCP_SYN,615,87,860,0
1780957480.8141048,ATAQUE,TCP_SYN,791,99,962,1
1780957481.8147175,ATAQUE,TCP_SYN,823,100,968,1
1780957482.8151002,ATAQUE,TCP_SYN,789,100,962,1
1780957483.815714,ATAQUE,TCP_SYN,764,100,957,1
1780957484.8164675,ATAQUE,TCP_SYN,786,100,961,1
1780957485.816531,ATAQUE,TCP_SYN,808,100,965,1
1780957486.817152,ATAQUE,TCP_SYN,885,100,978,1
1780957487.8178988,ATAQUE,TCP_SYN,885,100,978,1
1780957488.8191948,ATAQUE,TCP_SYN,917,100,984,1
1780957489.8203356,ATAQUE,TCP_SYN,909,100,982,1
1780957490.8207328,ATAQUE,TCP_SYN,914,100,983,1
1780957491.82116,ATAQUE,TCP_SYN,900,100,981,1
1780957492.8210957,ATAQUE,TCP_SYN,906,100,982,1
1780957493.82135,ATAQUE,TCP_SYN,908,100,982,1
1780957494.8217075,ATAQUE,TCP_SYN,918,100,984,1
1780957495.822336,ATAQUE,TCP_SYN,886,100,979,1
1780957496.823157,ATAQUE,TCP_SYN,902,99,981,1
1780957497.8237803,ATAQUE,TCP_SYN,909,100,982,1
1780957498.8238604,ATAQUE,TCP_SYN,898,100,981,1
1780957503.9362643,NORMAL,NONE,67,2,99,1
1780957504.954322,NORMAL,NONE,134,1,99,0
1780957505.9865777,NORMAL,NONE,132,1,99,0
1780957507.1368265,NORMAL,NONE,132,1,99,0
1780957508.3008559,NORMAL,NONE,170,1,99,0
1780957509.3307579,NORMAL,NONE,132,1,99,0
1780957510.3312438,NORMAL,NONE,132,1,99,0
1780957511.3677533,NORMAL,NONE,130,1,99,0
1780957512.3887894,NORMAL,NONE,136,1,99,0
1780957513.4343505,NORMAL,NONE,130,1,99,0
1780957514.4494727,NORMAL,NONE,136,1,99,0
1780957515.4843268,NORMAL,NONE,132,1,99,0
1780957516.517451,NORMAL,NONE,130,1,100,0
1780957517.5553634,NORMAL,NONE,136,1,99,0
1780957518.6024644,NORMAL,NONE,147,1,99,0
1780957519.6153688,NORMAL,NONE,119,1,99,0
1780957520.6485863,NORMAL,NONE,134,1,99,0
1780957521.6656492,NORMAL,NONE,134,1,99,0
1780957522.6976516,NORMAL,NONE,130,1,99,0
1780957523.7453303,NORMAL,NONE,134,1,99,0
1780957524.7989438,NORMAL,NONE,136,1,99,0
1780957525.8303342,NORMAL,NONE,134,1,99,0
1780957526.8631577,NORMAL,NONE,134,1,99,0
1780957527.8782136,NORMAL,NONE,164,1,99,0
1780957528.9091885,NORMAL,NONE,104,1,99,0
1780957529.941008,NORMAL,NONE,130,1,99,0
1780957530.9594612,NORMAL,NONE,132,1,99,0
1780957531.9932516,NORMAL,NONE,136,1,99,0
1780957533.0231228,NORMAL,NONE,132,1,99,0
1780957534.0549195,NORMAL,NONE,134,1,99,0
1780957535.0776792,NORMAL,NONE,130,1,99,0
1780957536.0925422,NORMAL,NONE,130,1,99,0
1780957537.1057768,NORMAL,NONE,134,1,99,0
1780957538.1422582,NORMAL,NONE,132,1,99,0
1780957539.1588936,NORMAL,NONE,132,1,99,0
1780957540.1777718,NORMAL,NONE,134,1,99,0
1780957541.2235873,NORMAL,NONE,134,1,99,0
1780957542.2445312,NORMAL,NONE,130,1,99,0
1780957543.286046,NORMAL,NONE,132,1,99,0
1780957544.302001,NORMAL,NONE,134,1,99,0
1780957545.3391397,NORMAL,NONE,132,1,100,0
1780957546.373019,NORMAL,NONE,130,1,99,0
1780957547.4016013,NORMAL,NONE,134,1,99,0
1780957548.4233887,NORMAL,NONE,132,1,99,0
1780957549.43673,NORMAL,NONE,157,1,99,0
1780957550.4731143,NORMAL,NONE,107,1,99,0
1780957551.4740984,NORMAL,NONE,133,1,99,0
1780957552.49984,NORMAL,NONE,131,1,99,0
1780957553.51914,NORMAL,NONE,130,1,99,0
1780957554.549618,NORMAL,NONE,132,1,99,0
1780957555.586958,NORMAL,NONE,138,1,99,0
1780957556.6206071,NORMAL,NONE,128,1,100,0
1780957557.6407068,NORMAL,NONE,136,1,99,0
1780957558.6861,NORMAL,NONE,132,1,99,0
1780957559.692848,NORMAL,NONE,134,1,99,0
1780957560.7356858,NORMAL,NONE,132,1,99,0
1780957561.7516098,NORMAL,NONE,130,1,99,0
1780957562.7691019,NORMAL,NONE,134,1,99,0
1780957563.7844613,NORMAL,NONE,130,1,99,0
1780957564.8125198,NORMAL,NONE,132,1,99,0
1780957565.8329682,NORMAL,NONE,143,1,99,0
1780957566.8666995,NORMAL,NONE,119,1,99,0
1780957567.8846698,NORMAL,NONE,132,1,99,0
1780957568.9158986,NORMAL,NONE,134,1,99,0
1780957569.948086,NORMAL,NONE,134,1,99,0
1780957570.9811728,NORMAL,NONE,132,1,99,0
1780957572.028316,NORMAL,NONE,136,1,99,0
1780957573.0653148,NORMAL,NONE,132,1,99,0
1780957574.0812125,NORMAL,NONE,134,1,99,0
1780957575.097827,NORMAL,NONE,132,1,99,0
1780957576.1292636,NORMAL,NONE,134,1,99,0
1780957577.1502085,NORMAL,NONE,130,1,99,0
1780957578.1946526,NORMAL,NONE,136,1,99,0
1780957579.2466965,NORMAL,NONE,134,1,99,0
1780957580.2649875,NORMAL,NONE,132,1,99,0
1780957581.278838,NORMAL,NONE,132,1,99,0
1780957582.3296971,NORMAL,NONE,132,1,100,0
1780957583.3621857,NORMAL,NONE,132,1,99,0
1780957584.395176,NORMAL,NONE,136,1,99,0
1780957585.4277275,NORMAL,NONE,130,1,99,0
1780957586.464182,NORMAL,NONE,134,1,99,0
1780957587.4771755,NORMAL,NONE,130,1,99,0
1780957588.5050256,NORMAL,NONE,132,1,99,0
1780957589.541202,NORMAL,NONE,128,1,100,0
1780957590.5589368,NORMAL,NONE,134,1,99,0
1780957591.587847,NORMAL,NONE,126,1,99,0
1780957592.603419,NORMAL,NONE,128,1,100,0
1780957593.6380055,NORMAL,NONE,134,1,99,0
1780957594.6746907,NORMAL,NONE,132,1,99,0
1780957595.7119093,NORMAL,NONE,130,1,99,0
1780957596.7408435,NORMAL,NONE,130,1,100,0
1780957597.7551425,NORMAL,NONE,130,1,99,0
1780957598.7725823,NORMAL,NONE,130,1,99,0
1780957599.8060668,NORMAL,NONE,128,1,100,0
1780957600.8376806,NORMAL,NONE,130,1,99,0
1780957601.8541632,NORMAL,NONE,130,1,99,0
1780957602.8881714,NORMAL,NONE,134,1,99,0
1780957603.9212215,NORMAL,NONE,128,1,100,0
1780957604.9528368,NORMAL,NONE,130,1,99,0
1780957605.9867454,NORMAL,NONE,136,1,99,0
1781289698.6167815,NORMAL,NONE,63,3,99,1
1781289699.6329968,NORMAL,NONE,136,1,99,0
1781289700.6664572,NORMAL,NONE,134,1,99,0
1781289701.6974077,NORMAL,NONE,132,1,99,0
1781289702.7104826,NORMAL,NONE,128,1,100,0
1781289703.735804,NORMAL,NONE,132,1,99,0
1781289704.7481465,NORMAL,NONE,131,2,105,0
1781289705.780409,NORMAL,NONE,134,1,99,0
1781289706.8025105,NORMAL,NONE,132,1,99,0
1781289707.8306117,NORMAL,NONE,134,1,99,0
1781289708.8616843,NORMAL,NONE,130,1,99,0
1781289709.8903837,NORMAL,NONE,135,2,105,0
1781289710.928628,NORMAL,NONE,130,1,99,0
1781289711.942244,NORMAL,NONE,139,2,105,0
1781289712.9757679,NORMAL,NONE,128,1,99,0
1781289713.991093,NORMAL,NONE,130,1,99,0
1781289715.0107536,NORMAL,NONE,136,1,99,0
1781289716.026132,NORMAL,NONE,126,1,99,0
1781289717.0556965,NORMAL,NONE,134,1,99,0
1781289718.0759935,NORMAL,NONE,130,1,99,0
1781289719.127717,NORMAL,NONE,136,1,99,0
1781289720.1591556,NORMAL,NONE,133,2,105,0
1781289721.1898108,NORMAL,NONE,132,1,100,0
1781289722.2069638,NORMAL,NONE,130,1,99,0
1781289723.2589443,NORMAL,NONE,132,1,99,0
1781289724.269776,NORMAL,NONE,132,1,99,0
1781289725.269871,ATAQUE,UDP_flood,945,94,960,0
1781289726.2708328,ATAQUE,UDP_flood,1031,99,1000,1
1781289727.2713823,ATAQUE,UDP_flood,1052,100,1003,1
1781289728.271765,ATAQUE,UDP_flood,1059,100,1004,1
1781289729.2717967,ATAQUE,UDP_flood,1062,100,1005,1
1781289730.2724419,ATAQUE,UDP_flood,1120,100,1012,1
1781289731.272594,ATAQUE,UDP_flood,1104,100,1010,1
1781289732.2744863,ATAQUE,UDP_flood,1042,100,1002,1
1781289733.2747164,ATAQUE,UDP_flood,1099,100,1010,1
1781289734.275185,ATAQUE,UDP_flood,1041,100,1002,1
1781289735.27562,ATAQUE,UDP_flood,1045,100,1002,1
1781289736.2757983,ATAQUE,UDP_flood,1044,100,1002,1
1781289737.2762563,ATAQUE,UDP_flood,1108,100,1011,1
1781289738.2774436,ATAQUE,UDP_flood,1073,99,1006,1
1781289739.278306,ATAQUE,UDP_flood,1067,100,1005,1
1781289740.313272,ATAQUE,UDP_flood,1104,100,1010,1
1781289741.2803657,ATAQUE,UDP_flood,1047,100,1003,1
1781289742.2813303,ATAQUE,UDP_flood,1027,100,1000,1
1781289743.281376,ATAQUE,UDP_flood,1076,100,1007,1
1781289744.2816684,ATAQUE,UDP_flood,1112,100,1011,1
1781289745.2815394,ATAQUE,UDP_flood,1057,100,1004,1
1781289746.281836,ATAQUE,UDP_flood,1029,100,1000,1
1781289747.2822638,ATAQUE,UDP_flood,1110,100,1011,1
1781289748.2822726,ATAQUE,UDP_flood,1062,100,1005,1
1781289749.2825787,ATAQUE,UDP_flood,1115,100,1012,1
1781289750.2828915,ATAQUE,UDP_flood,1061,100,1005,1
1781289751.2839117,ATAQUE,UDP_flood,1055,100,1004,1
1781289752.2849088,ATAQUE,UDP_flood,1107,100,1011,1
1781289753.2852237,ATAQUE,UDP_flood,1059,100,1004,1
1781289754.285625,ATAQUE,UDP_flood,1090,100,1009,1
1781289755.2856185,ATAQUE,UDP_flood,1110,99,1011,1
1781289756.2856085,ATAQUE,UDP_flood,1108,100,1011,1
1781289757.2864215,ATAQUE,UDP_flood,1110,100,1011,1
1781289758.2866752,ATAQUE,UDP_flood,1116,100,1012,1
1781289759.287804,ATAQUE,UDP_flood,1105,100,1010,1
1781289760.2879415,ATAQUE,UDP_flood,1044,100,1002,1
1781289761.2888033,ATAQUE,UDP_flood,1076,100,1007,1
1781289762.2903912,ATAQUE,UDP_flood,1139,100,1015,1
1781289763.2904532,ATAQUE,UDP_flood,1084,100,1008,1
1781289764.2905211,ATAQUE,UDP_flood,1085,100,1008,1
1781289765.2905536,ATAQUE,UDP_flood,1072,100,1006,1
1781289766.2909238,ATAQUE,UDP_flood,1086,100,1008,1
1781289767.2917101,ATAQUE,UDP_flood,1111,100,1011,1
1781289768.2920222,ATAQUE,UDP_flood,1053,100,1004,1
1781289769.2924852,ATAQUE,UDP_flood,1091,100,1009,1
1781289770.292531,ATAQUE,UDP_flood,1118,100,1012,1
1781289771.2926183,ATAQUE,UDP_flood,1100,100,1010,1
1781289772.2933965,ATAQUE,UDP_flood,1043,100,1002,1
1781289773.293889,ATAQUE,UDP_flood,1054,100,1004,1
1781289774.294486,ATAQUE,UDP_flood,1093,100,1009,1
1781289775.2946866,ATAQUE,UDP_flood,1031,100,1000,1
1781289776.2949674,ATAQUE,UDP_flood,1051,100,1003,1
