1780957215.9662, 0.006497,False
1780957215.9710, 0.004463,False
1780957215.9757, 0.002407,False
1780957215.9806, 0.000622,False
1780957215.9852, 0.008870,False
1780957215.9897, 0.007146,False
1780957215.9947, 0.005173,False
1780957215.9996, 0.003497,False
1780957216.0041, 0.001439,False
1780957216.0095, 0.009563,False
1780957216.0143, 0.007872,False
1780957216.0188, 0.006078,False
1780957216.0234, 0.004054,False
1780957216.0281, 0.002172,False
1780957216.0335, 0.010146,False
1780957216.2171, 0.008274,False
1780957216.2217, 0.006915,False
1780957216.2265, 0.005116,False
1780957216.2322, 0.003288,False
1780957216.2366, 0.001503,False
1780957216.2410, 0.009669,False
1780957216.2456, 0.007870,False
1780957216.2501, 0.005853,False
1780957216.2545, 0.004402,False
1780957216.2592, 0.002456,False
1780957216.2638, 0.000510,False
1780957216.2682, 0.008667,False
1780957216.2726, 0.006359,False
1780957216.4787, 0.004572,False
1780957216.4842, 0.002848,False
1780957216.4896, 0.000713,False
1780957216.4947, 0.009124,False
1780957216.4999, 0.007197,False
1780957216.5049, 0.004988,False
1780957216.5094, 0.003183,False
1780957216.5144, 0.000998,False
1780957216.7350, 0.009020,False
1780957216.7394, 0.000137,False
1780957216.7469, 0.005053,False
1780957216.7515, 0.003108,False
1780957216.7563, 0.001158,False
1780957216.7609, 0.009766,False
1780957216.7653, 0.008216,False
1780957216.7696, 0.006148,False
1780957216.9661, 0.004435,False
1780957216.9716, 0.002729,False
1780957216.9784, 0.000547,False
1780957216.9852, 0.009090,False
1780957216.9901, 0.007406,False
1780957216.9950, 0.005441,False
1780957216.9994, 0.003403,False
1780957217.0038, 0.001810,False
1780957217.2352, 0.009922,False
1780957217.2407, 0.008182,False
1780957217.2463, 0.006181,False
1780957217.2511, 0.004439,False
1780957217.2558, 0.002666,False
1780957217.2610, 0.000672,False
1780957217.2655, 0.008527,False
1780957217.4902, 0.007003,False
1780957217.4958, 0.005008,False
1780957217.5012, 0.003159,False
1780957217.5066, 0.001269,False
1780957217.5118, 0.009250,False
1780957217.5170, 0.007472,False
1780957217.5228, 0.005717,False
1780957217.5289, 0.003822,False
1780957217.5335, 0.001636,False
1780957217.7515, 0.009544,False
1780957217.7562, 0.007663,False
1780957217.7612, 0.005817,False
1780957217.7658, 0.003888,False
1780957217.8649, 0.001917,False
1780957217.8715, 0.009899,False
1780957217.8772, 0.007509,False
1780957217.8818, 0.005595,False
1780957218.0021, 0.003700,False
1780957218.0068, 0.001749,False
1780957218.0121, 0.009947,False
1780957218.0168, 0.008315,False
1780957218.0213, 0.006624,False
1780957218.0266, 0.004656,False
1780957218.0307, 0.000071,False
1780957218.0370, 0.000546,False
1780957218.2685, 0.008621,False
1780957218.2736, 0.001632,False
1780957218.2817, 0.004541,False
1780957218.2864, 0.002727,False
1780957218.2908, 0.000768,False
1780957218.2954, 0.009140,False
1780957218.2998, 0.007132,False
1780957218.3040, 0.004836,False
1780957218.5268, 0.002886,False
1780957218.5312, 0.001247,False
1780957218.5357, 0.009122,False
1780957218.5400, 0.007397,False
1780957218.5443, 0.005233,False
1780957218.5486, 0.003616,False
1780957218.5532, 0.001549,False
1780957218.5595, 0.009326,False
1780957218.7849, 0.007029,False
1780957218.7903, 0.005251,False
1780957218.7959, 0.003359,False
1780957218.8011, 0.000939,False
1780957218.8062, 0.009316,False
1780957218.8110, 0.007031,False
1780957218.8155, 0.005298,False
1780957218.8197, 0.003382,False
1780957219.0479, 0.002961,False
1780957219.0525, 0.009623,False
1780957219.0570, 0.007675,False
1780957219.0621, 0.005532,False
1780957219.0666, 0.003815,False
1780957219.0712, 0.001752,False
1780957219.0758, 0.010023,False
1780957219.0801, 0.008069,False
1780957219.3015, 0.006245,False
1780957219.3058, 0.004805,False
1780957219.3107, 0.002646,False
1780957219.3152, 0.000895,False
1780957219.3195, 0.009135,False
1780957219.3238, 0.007304,False
1780957219.3283, 0.005007,False
1780957219.3327, 0.003114,False
1780957219.5435, 0.001363,False
1780957219.5483, 0.009542,False
1780957219.5529, 0.007607,False
