Timestamp,TP,FP,FN,Precision,FNR
1781289725.3414133,1,1,0,0.5000,0.0000
1781289726.3542774,2,1,0,0.6667,0.0000
1781289727.315302,3,1,0,0.7500,0.0000
1781289728.3263245,4,1,0,0.8000,0.0000
1781289729.4069657,5,1,0,0.8333,0.0000
1781289730.3178065,6,1,0,0.8571,0.0000
1781289731.3298347,7,1,0,0.8750,0.0000
1781289732.3414812,8,1,0,0.8889,0.0000
1781289733.355641,9,1,0,0.9000,0.0000
1781289734.3688724,10,1,0,0.9091,0.0000
1781289735.3305979,11,1,0,0.9167,0.0000
1781289736.343173,12,1,0,0.9231,0.0000
1781289737.3563266,13,1,0,0.9286,0.0000
1781289738.367924,14,1,0,0.9333,0.0000
1781289739.3298512,15,1,0,0.9375,0.0000
1781289740.3429916,16,1,0,0.9412,0.0000
1781289741.3550277,17,1,0,0.9444,0.0000
1781289742.3696842,18,1,0,0.9474,0.0000
1781289743.3320224,19,1,0,0.9500,0.0000
1781289744.3451867,20,1,0,0.9524,0.0000
1781289745.3569827,21,1,0,0.9545,0.0000
1781289746.3686845,22,1,0,0.9565,0.0000
1781289747.3303528,23,1,0,0.9583,0.0000
1781289748.3445058,24,1,0,0.9600,0.0000
1781289749.3595045,25,1,0,0.9615,0.0000
1781289750.3211696,26,1,0,0.9630,0.0000
1781289751.334428,27,1,0,0.9643,0.0000
1781289752.349036,28,1,0,0.9655,0.0000
1781289753.3637676,29,1,0,0.9667,0.0000
1781289754.375257,30,1,0,0.9677,0.0000
1781289755.3366601,31,1,0,0.9688,0.0000
1781289756.3485258,32,1,0,0.9697,0.0000
1781289757.361312,33,1,0,0.9706,0.0000
1781289758.373639,34,1,0,0.9714,0.0000
1781289759.335668,35,1,0,0.9722,0.0000
1781289760.348393,36,1,0,0.9730,0.0000
1781289761.3612065,37,1,0,0.9737,0.0000
1781289762.3729296,38,1,0,0.9744,0.0000
1781289763.335428,39,1,0,0.9750,0.0000
1781289764.3477314,40,1,0,0.9756,0.0000
1781289765.360908,41,1,0,0.9762,0.0000
1781289766.3723989,42,1,0,0.9767,0.0000
1781289767.3852193,43,1,0,0.9773,0.0000
1781289768.3466594,44,1,0,0.9778,0.0000
1781289769.3592036,45,1,0,0.9783,0.0000
1781289770.3724067,46,1,0,0.9787,0.0000
1781289771.3844743,47,1,0,0.9792,0.0000
1781289772.345626,48,1,0,0.9796,0.0000
1781289773.3587766,49,1,0,0.9800,0.0000
1781289774.372528,50,1,0,0.9804,0.0000
1781289775.3355331,51,1,0,0.9808,0.0000
1781289776.3481765,52,1,0,0.9811,0.0000
1781289777.3601341,53,1,0,0.9815,0.0000
1781289778.373026,54,1,0,0.9818,0.0000
1781289779.384417,55,1,0,0.9821,0.0000
1781289780.3459556,56,1,0,0.9825,0.0000
1781289781.3585489,57,1,0,0.9828,0.0000
1781289782.3695648,58,1,0,0.9831,0.0000
1781289783.3810244,59,1,0,0.9833,0.0000
1781289784.3930511,60,1,0,0.9836,0.0000
1781289785.3554797,61,1,0,0.9839,0.0000
1781289786.3694894,62,1,0,0.9841,0.0000
1781289787.3848088,63,1,0,0.9844,0.0000
1781289788.3462732,64,1,0,0.9846,0.0000
1781289789.3585563,65,1,0,0.9848,0.0000
1781289790.370926,66,1,0,0.9851,0.0000
1781289791.383458,67,1,0,0.9853,0.0000
1781289792.3960755,68,1,0,0.9855,0.0000
1781289793.3583329,69,1,0,0.9857,0.0000
1781289794.368894,70,1,0,0.9859,0.0000
1781289795.3811946,71,1,0,0.9861,0.0000
1781289796.3939083,72,1,0,0.9863,0.0000
1781289797.3566532,73,1,0,0.9865,0.0000
1781289798.3689723,74,1,0,0.9867,0.0000
1781289799.3965,75,1,0,0.9868,0.0000
1781289800.3568573,76,1,0,0.9870,0.0000
1781289801.3677976,77,1,0,0.9872,0.0000
1781289802.3816204,78,1,0,0.9873,0.0000
1781289803.3922434,79,1,0,0.9875,0.0000
1781289804.354437,80,1,0,0.9877,0.0000
1781289805.3670356,81,1,0,0.9878,0.0000
1781289806.3784766,82,1,0,0.9880,0.0000
1781289807.3909156,83,1,0,0.9881,0.0000
1781289808.353329,84,1,0,0.9882,0.0000
1781289809.3658035,85,1,0,0.9884,0.0000
1781289810.378976,86,1,0,0.9885,0.0000
1781289811.3903658,87,1,0,0.9886,0.0000
1781289812.4033575,88,1,0,0.9888,0.0000
1781289813.3643167,89,1,0,0.9889,0.0000
1781289814.3759413,90,1,0,0.9890,0.0000
1781289815.3887923,91,1,0,0.9891,0.0000
1781289816.399441,92,1,0,0.9892,0.0000
1781289817.3598194,93,1,0,0.9894,0.0000
1781289818.3705733,94,1,0,0.9895,0.0000
1781289819.3831797,95,1,0,0.9896,0.0000
1781289820.3954284,96,1,0,0.9897,0.0000
1781289821.3577497,97,1,0,0.9898,0.0000
1781289822.3699558,98,1,0,0.9899,0.0000
1781289823.3819795,99,1,0,0.9900,0.0000
1781289824.3927224,100,1,0,0.9901,0.0000
1781289825.4046261,101,1,0,0.9902,0.0000
1781289826.3659017,102,1,0,0.9903,0.0000
1781289827.3768427,103,1,0,0.9904,0.0000
1781289828.3878577,104,1,0,0.9905,0.0000
1781289829.4013734,105,1,0,0.9906,0.0000
1781289830.4140916,106,1,0,0.9907,0.0000
1781289831.375486,107,1,0,0.9907,0.0000
1781289832.3863592,108,1,0,0.9908,0.0000
1781289833.3982244,109,1,0,0.9909,0.0000
1781289834.360944,110,1,0,0.9910,0.0000
1781289835.373049,111,1,0,0.9911,0.0000
1781289836.3853765,112,1,0,0.9912,0.0000
1781289837.3958044,113,1,0,0.9912,0.0000
1781289841.8958642,0,1,0,0.0000,0.0000
1781289844.6185436,0,2,0,0.0000,0.0000
1781289846.1311803,0,3,0,0.0000,0.0000
1781289862.3361626,0,1,0,0.0000,0.0000
1781289869.4945443,0,2,0,0.0000,0.0000
1781289874.688926,0,3,0,0.0000,0.0000
1781289876.2057714,0,4,0,0.0000,0.0000
1781289884.6842551,0,5,0,0.0000,0.0000
